ADC RAW,R Test,,
61868,150000,,
,,,
428,1036,1025.12141,-10.8785896
837,2022,2000.446941,-21.5530586
1259,3027,3006.983449,-20.0165514
1670,4006,3987.48864,-18.51136
2093,5016,4996.833389,-19.1666106
2522,6046,6020.71439,-25.2856096
2940,7031,7018.55446,-12.44554
3371,8057,8047.647385,-9.3526154
3775,9001,9012.475175,11.475175
4192,10005,10008.55482,3.5548184
4634,11059,11064.57927,5.5792736
5023,11995,11994.17032,-0.8296826
5460,13050,13038.68326,-11.31674
5872,14023,14023.65133,0.6513304
6305,15063,15059.04362,-3.956385
6693,16000,15987.02275,-12.9772506
7114,17009,16994.1323,-14.8677024
7535,18012,18001.45454,-10.545465
7984,19080,19076.00645,-3.9935464
8385,20037,20035.88874,-1.111265
8668,21041,20713.42803,-327.5719656
9187,22016,21956.23218,-59.7678186
9707,23011,23201.75511,190.7551094
10071,24055,24073.81422,18.8142246
10477,25016,25046.68312,30.6831174
10901,26030,26062.89528,32.8952806
11335,27065,27103.29814,38.298135
11745,28048,28086.37482,38.374815
12168,29052,29100.83363,48.8336344
12551,29971,30019.54776,48.5477606
12980,31008,31048.81254,40.81254
13420,32027,32104.69814,77.69814
13844,33053,33122.4077,69.4077016
14235,34040,34061.09994,21.099935
14638,35020,35028.79313,8.7931264
15052,35999,36023.10272,24.1027224
15488,37060,37070.47239,10.4723864
15887,37998,38029.15966,31.1596614
16318,39041,39064.94877,23.9487744
16719,40013,40028.84138,15.8413766
17142,41043,41045.825,2.8249984
17534,42006,41988.46959,-17.5304064
17980,43065,43061.19254,-3.80746
18407,44083,44088.44019,5.4401894
18789,45008,45007.61531,-0.3846874
19196,46006,45987.13855,-18.8614504
19616,47010,46998.15717,-11.8428264
20035,48051,48006.97954,-44.020465
20470,49055,49054.54784,-0.45216
20872,50038,50022.84733,-15.1526696
21284,51022,51015.43509,-6.5649064
21705,52014,52029.91602,15.916015
22120,53008,53030.14694,22.14694
22529,54000,54016.1189,16.1189046
22932,55000,54987.82307,-12.1769256
23347,56008,55988.66505,-19.3349546
23769,57025,57006.60062,-18.3993834
24183,58010,58005.44649,-4.5535066
24598,59008,59006.91146,-1.0885376
24982,60003,59933.75229,-69.2477056
25409,61012,60964.58777,-47.4122314
25835,62011,61993.22714,-17.772865
26224,63058,62932.71481,-125.2851944
26637,63999,63930.36446,-68.6355386
27063,65028,64959.63158,-68.3684186
27473,66009,65950.44644,-58.5535626
27895,67033,66970.47142,-62.528585
28305,68008,67961.69562,-46.304385
28748,69042,69032.928,-9.0719976
29128,70002,69952.00573,-49.9942696
29534,71013,70934.15919,-78.8408064
29965,72015,71977.00654,-37.993465
30360,73040,72932.94406,-107.05594
30787,74010,73966.53522,-43.4647786
31240,75049,75063.30086,14.30086
31616,76023,75973.82757,-49.1724264
32042,77033,77005.63996,-27.3600416
32459,78020,78015.86441,-4.1355914
32837,79025,78931.78774,-93.2122586
33257,80022,79949.68143,-72.3185706
33714,81085,81057.48718,-27.5128224
41150,98960,99118.1808,158.1808
61955,150111,150002.28,-108.719985
